author,amount,content,likes,authorProfilePicture
"@Orion-j9h","$4,99","The teacher: THIS IS UNACCEPTABLE","48","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Heartbreaking","230","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$9,99","GUESS WHOSE BACK, BACK AGAIN","830","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@glendaobryan2957","$2,00","Is it jackie chan, or you zdakk?    :Edit: 46 likes!?!? I can't thank you guys enough!!!  :Edit 2: 100 LIKES!? THATS THE MOST IVE EVER HAD!!! TYYYY!!!!","183","null"
"@KawabelockPlays","AU$5,00","jackie chan is that one person that can solo most things keep it going zdak MORE DOLLAR DOLLAR","217","null"
"@george-l2t9x","£1,99","i’m caramel one ","894","https://yt3.ggpht.com/ytc/AIdro_lsVE1_XikidOQ_evy45xYjgM2WjueRp1AyDRShhDtBoScqLLIMkwgV1mp-befwAKFjTQ=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Banking is what I say do and think about can I get a shoutout on next video?","148","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Bro it’s giving homeless people on the streets","4,1 K","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@alexpriork2d","$2,00","i feel sad for bruv","1,3 K","null"
"@KawabelockPlays","AU$2,00","enjoy this australian dollar, thank you for keeping me entertained","483","null"
